feature,importance,shap_mean,shap_std
gene_parC_S80I,0.5384946625578789,0.5384946625578789,0.17194730204846614
gene_aac(6')-Ib,0.3012588253084517,0.3012588253084517,0.17657893382192297
gene_armA,0.2286524243590779,0.2286524243590779,0.18675325258786837
gene_ybtP,0.20939557810568982,0.20939557810568982,0.1212024035055339
gene_blaSHV-11,0.20656341940979298,0.20656341940979298,0.12786193764892181
gene_aph(6)-Id,0.19112244998583233,0.19112244998583233,0.1164521180766112
gene_blaSHV-1,0.18212898860878798,0.18212898860878798,0.1827729414695999
gene_arsA,0.12038439097710535,0.12038439097710535,0.036313345035044284
gene_arr-2,0.11291963120832707,0.11291963120832707,0.115774920945588
gene_aph(3')-VI,0.11152503014676593,0.11152503014676593,0.1659481707465229
gene_qacEdelta1,0.10295885901152517,0.10295885901152517,0.10167157539265935
gene_blaCTX-M-14,0.09010031774776213,0.09010031774776213,0.19974953400244994
gene_qnrS1,0.0839803132607089,0.0839803132607089,0.10222240209163254
gene_aac(3)-IIe,0.08205005634580313,0.08205005634580313,0.05436865059915666
gene_aph(3'')-Ib,0.07440075476035318,0.07440075476035318,0.03868380254832623
gene_tet(A),0.07342655371865263,0.07342655371865263,0.04678165866596141
gene_arsD,0.06674698684938048,0.06674698684938048,0.006992243363917628
gene_oqxB19,0.05750446678519854,0.05750446678519854,0.04388224421566446
gene_blaOXA-1,0.05557697954143264,0.05557697954143264,0.027941719468956728
gene_catA1,0.05459558543719241,0.05459558543719241,0.03453527633249428
gene_blaOXA-48,0.0495623011632125,0.0495623011632125,0.006897089058829775
gene_dfrA12,0.03709712628187094,0.03709712628187094,0.038904892139029035
gene_aph(3')-Ia,0.034522419665796465,0.034522419665796465,0.02444991245718417
gene_blaKPC-3,0.029392865886012955,0.029392865886012955,0.015622014123369438
gene_merR,0.02605742598483115,0.02605742598483115,0.013674643809535246
gene_blaTEM-1,0.017083508280107355,0.017083508280107355,0.013121293460923852
gene_merT,0.01508069402306554,0.01508069402306554,0.0057192875981500165
gene_blaSHV-12,0.014983968882092769,0.014983968882092769,0.0244845234110592
gene_aph(4)-Ia,0.013384352660609465,0.013384352660609465,0.0014472367368808384
gene_gyrA_D87N,0.012017188295569444,0.012017188295569444,0.006722528709997425
gene_aac(3)-IId,0.01108430034658451,0.01108430034658451,0.023380731777109753
gene_terB,0.010513177055107924,0.010513177055107924,0.011603976702845421
gene_ompK36_D135DGD,0.009176372568362436,0.009176372568362436,0.00928854239468892
gene_aadA2,0.008308844801805096,0.008308844801805096,0.012713813777463872
gene_blaNDM-1,0.007137614583612016,0.007137614583612016,0.005714976911879102
gene_mph(A),0.006594534421934653,0.006594534421934653,0.0031056784593299453
gene_blaCTX-M-15,0.006390742236280873,0.006390742236280873,0.0028662576435134453
gene_ble,0.005571616218571457,0.005571616218571457,0.009295264809217161
gene_sul1,0.005482488653164875,0.005482488653164875,0.0026962920404494874
gene_silR,0.0049544471733055555,0.0049544471733055555,0.0058722633697876996
gene_aadA1,0.003987050242885929,0.003987050242885929,0.0023906293676808194
gene_gyrA_S83F,0.0026428782316299197,0.0026428782316299197,0.0036668014730772648
gene_merC,0.0010259570368121114,0.0010259570368121114,0.0007645582146846365
gene_silE,0.0008006849543826358,0.0008006849543826358,0.000621992267327508
gene_aac(6')-Ib-cr5,0.0005000452112075466,0.0005000452112075466,0.0005647623430980364
gene_cmlA5,0.00047958535468288217,0.00047958535468288217,0.00022276704793836063
gene_ncrC,0.0,0.0,0.0
gene_ncrY,0.0,0.0,0.0
gene_ompK35_E132K,0.0,0.0,0.0
gene_nirB,0.0,0.0,0.0
gene_ompK36_D135DD,0.0,0.0,0.0
gene_aac(3)-II,0.0,0.0,0.0
gene_ompK36_G133D,0.0,0.0,0.0
gene_ompK36_Q313STOP,0.0,0.0,0.0
gene_ompK36_Q70STOP,0.0,0.0,0.0
gene_ompK36_T136TDT,0.0,0.0,0.0
gene_ompK36_W125STOP,0.0,0.0,0.0
gene_oqxA,0.0,0.0,0.0
gene_oqxA10,0.0,0.0,0.0
gene_oqxA11,0.0,0.0,0.0
gene_oqxA3,0.0,0.0,0.0
gene_oqxB,0.0,0.0,0.0
gene_oqxB14,0.0,0.0,0.0
gene_oqxB15,0.0,0.0,0.0
gene_oqxB16,0.0,0.0,0.0
gene_oqxB20,0.0,0.0,0.0
gene_oqxB25,0.0,0.0,0.0
gene_ncrB,0.0,0.0,0.0
gene_merD,0.0,0.0,0.0
gene_ncrA,0.0,0.0,0.0
gene_iroB,0.0,0.0,0.0
gene_iucA,0.0,0.0,0.0
gene_iss,0.0,0.0,0.0
gene_iroN,0.0,0.0,0.0
gene_iroE,0.0,0.0,0.0
gene_iroD,0.0,0.0,0.0
gene_iroC,0.0,0.0,0.0
gene_hsp20,0.0,0.0,0.0
gene_msr(E),0.0,0.0,0.0
gene_hdeD-GI,0.0,0.0,0.0
gene_gyrA_S83Y,0.0,0.0,0.0
gene_gyrA_S83T,0.0,0.0,0.0
gene_gyrA_S83I,0.0,0.0,0.0
gene_gyrA_D87Y,0.0,0.0,0.0
gene_gyrA_D87G,0.0,0.0,0.0
