feature,importance
gene_vanR-A,0
gene_gyrA_D87Y,0
gene_gyrA_D87G,0
gene_gyrA_D87A,0
gene_ftsI_L367Q,0
gene_fosA7,0
gene_fosA5,0
gene_fosA3,0
gene_fosA10,0
gene_dfrA27,0
gene_blaCMY-16,0
gene_blaCARB-2,0
gene_blaSHV-52,0
gene_catB,0
gene_catA2,0
gene_cadD,0
gene_tet(G),0
gene_blaZ,0
gene_blaVIM-4,0
gene_blaVIM-1,0
gene_blaTEM-206,0
gene_blaSHV_C-112A,0
gene_blaSHV-80,0
gene_blaSHV-77,0
gene_blaSHV-76,0
gene_clbN,0
gene_blaSHV-7,0
gene_blaSHV-63,0
gene_dfrA21,0
gene_dfrA19,0
gene_dfrA18,0
gene_dfrA17,0
gene_dfrA15,0
gene_trxLHR,0
gene_dfrA1,0
gene_crrB_L94M,0
gene_crcB,0
gene_cmlA5,0
gene_cmlA4,0
gene_cmlA1,0
gene_cmlA,0
gene_blaSHV-71,0
