feature,importance
gene_qnrB4,0
gene_qnrB6,0
gene_qnrB9,0
gene_qnrS,0
gene_ramR_A19V,0
gene_ramR_T43M,0
gene_rmpA,0
gene_acrR_Y114F,0
gene_ampC_Kaer-1,0
gene_ant(6)-Ia,0
gene_aph(3')-VI,0
gene_aph(3')-VIb,0
gene_aph(4)-Ia,0
gene_aphA16,0
gene_ariR,0
gene_armA,0
gene_arr,0
gene_arr-2,0
gene_rmpA2,0
gene_rmpC,0
gene_rmpD,0
gene_rmtB1,0
gene_rmtF,0
gene_rmtF1,0
gene_rpsJ_V57L,0
gene_sak,0
gene_sat2,0
gene_senB,0
gene_shsP,0
gene_trxLHR,0
gene_tsh,0
gene_aac(3)-IId,0
gene_ybtQ,0
gene_yfdX1,0
gene_yfdX2,0
