feature,importance,shap_mean,shap_std
gene_tet(B),0.0,0.0,0.0
gene_terW,0.0,0.0,0.0
gene_silS,0.0,0.0,0.0
gene_terD,0.0,0.0,0.0
gene_terC,0.0,0.0,0.0
gene_terB,0.0,0.0,0.0
gene_sul3,0.0,0.0,0.0
gene_splA,0.0,0.0,0.0
gene_smr,0.0,0.0,0.0
gene_rmpA2,0.0,0.0,0.0
gene_ramR_A19V,0.0,0.0,0.0
gene_oqxB32,0.0,0.0,0.0
gene_pcoD,0.0,0.0,0.0
gene_pmrA_S42N,0.0,0.0,0.0
gene_pmrA_G53S,0.0,0.0,0.0
gene_peg-344,0.0,0.0,0.0
gene_gyrA_D87A,0.0,0.0,0.0
gene_pcoR,0.0,0.0,0.0
gene_pcoE,0.0,0.0,0.0
gene_pcoC,0.0,0.0,0.0
gene_psi-GI,0.0,0.0,0.0
gene_pcoB,0.0,0.0,0.0
gene_parC_E84K,0.0,0.0,0.0
gene_papE,0.0,0.0,0.0
gene_oqxR_V113I,0.0,0.0,0.0
gene_oqxR_D95E,0.0,0.0,0.0
gene_oqxB5,0.0,0.0,0.0
gene_pmrB_T157P,0.0,0.0,0.0
gene_qacE,0.0,0.0,0.0
gene_qnrVC1,0.0,0.0,0.0
gene_qnrB2,0.0,0.0,0.0
gene_qnrS,0.0,0.0,0.0
gene_qnrE1,0.0,0.0,0.0
gene_qnrB91,0.0,0.0,0.0
gene_qnrB9,0.0,0.0,0.0
gene_qnrB6,0.0,0.0,0.0
gene_qnrB4,0.0,0.0,0.0
gene_qnrB19,0.0,0.0,0.0
gene_qacEdelta1,0.0,0.0,0.0
gene_qnrB10,0.0,0.0,0.0
gene_qnrB,0.0,0.0,0.0
gene_qnrA6,0.0,0.0,0.0
gene_qnrA1,0.0,0.0,0.0
gene_qacL,0.0,0.0,0.0
gene_qacF,0.0,0.0,0.0
gene_gyrA_D87G,0.0,0.0,0.0
gene_aac(3)-II,0.0,0.0,0.0
gene_ftsI_L367Q,0.0,0.0,0.0
gene_blaOXY-5-9,0.0,0.0,0.0
gene_blaLAP-2,0.0,0.0,0.0
gene_blaKPC-45,0.0,0.0,0.0
gene_blaKPC-4,0.0,0.0,0.0
gene_blaKPC,0.0,0.0,0.0
gene_blaIMP-18,0.0,0.0,0.0
gene_blaFOX-5,0.0,0.0,0.0
gene_blaEC,0.0,0.0,0.0
gene_blaDHA-6,0.0,0.0,0.0
gene_blaDHA-1,0.0,0.0,0.0
gene_blaCTX-M-65,0.0,0.0,0.0
gene_blaCTX-M-3,0.0,0.0,0.0
gene_blaCTX-M-220,0.0,0.0,0.0
gene_blaCTX-M,0.0,0.0,0.0
gene_blaCMY-2,0.0,0.0,0.0
gene_blaCMY-16,0.0,0.0,0.0
gene_blaLEN-13,0.0,0.0,0.0
gene_blaLEN-17,0.0,0.0,0.0
gene_blaLEN-2,0.0,0.0,0.0
gene_blaOKP-B-6,0.0,0.0,0.0
gene_blaOXA-232,0.0,0.0,0.0
gene_blaOXA-2,0.0,0.0,0.0
gene_blaOXA-163,0.0,0.0,0.0
gene_blaOXA-1,0.0,0.0,0.0
gene_blaOXA,0.0,0.0,0.0
gene_blaOKP-B-79,0.0,0.0,0.0
gene_blaOKP-B-5,0.0,0.0,0.0
gene_blaLEN-9,0.0,0.0,0.0
gene_blaOKP-B-23,0.0,0.0,0.0
gene_blaNDM-7,0.0,0.0,0.0
gene_blaNDM-50,0.0,0.0,0.0
gene_blaNDM-5,0.0,0.0,0.0
gene_blaNDM-1,0.0,0.0,0.0
gene_blaNDM,0.0,0.0,0.0
gene_blaCARB-2,0.0,0.0,0.0
gene_asr,0.0,0.0,0.0
gene_arsD,0.0,0.0,0.0
gene_aac(6')-Ib',0.0,0.0,0.0
gene_aadA10,0.0,0.0,0.0
gene_aacA43,0.0,0.0,0.0
gene_aac(6')-Il,0.0,0.0,0.0
gene_aac(6')-Ib4,0.0,0.0,0.0
gene_aac(6')-Ib3,0.0,0.0,0.0
gene_aac(6')-Ib-cr,0.0,0.0,0.0
gene_aac(6')-E606,0.0,0.0,0.0
gene_aadA16,0.0,0.0,0.0
gene_aac(6')-33,0.0,0.0,0.0
gene_aac(3)-VIa,0.0,0.0,0.0
gene_aac(3)-Ib,0.0,0.0,0.0
gene_aac(3)-IVa,0.0,0.0,0.0
gene_aac(3)-IIg,0.0,0.0,0.0
gene_aac(3)-IIe,0.0,0.0,0.0
gene_aadA13,0.0,0.0,0.0
gene_aadA5,0.0,0.0,0.0
gene_arsC,0.0,0.0,0.0
gene_aph(3')-VI,0.0,0.0,0.0
gene_arsB,0.0,0.0,0.0
gene_arr-4,0.0,0.0,0.0
gene_arr-2,0.0,0.0,0.0
gene_arr,0.0,0.0,0.0
gene_aphA16,0.0,0.0,0.0
gene_aph(4)-Ia,0.0,0.0,0.0
gene_aph(3')-IIIa,0.0,0.0,0.0
gene_aadD1,0.0,0.0,0.0
gene_ant(6)-Ia,0.0,0.0,0.0
gene_ampC_Kaer-1,0.0,0.0,0.0
gene_ampC-Kaer,0.0,0.0,0.0
gene_acrR_Y114F,0.0,0.0,0.0
gene_acrR_V165I,0.0,0.0,0.0
gene_acrR_M109I,0.0,0.0,0.0
gene_blaOXA-9,0.0,0.0,0.0
gene_blaR1,0.0,0.0,0.0
gene_fosA7,0.0,0.0,0.0
gene_blaSCO-1,0.0,0.0,0.0
gene_dfrA33,0.0,0.0,0.0
gene_dfrA30,0.0,0.0,0.0
gene_dfrA27,0.0,0.0,0.0
gene_dfrA26,0.0,0.0,0.0
gene_dfrA21,0.0,0.0,0.0
gene_dfrA19,0.0,0.0,0.0
gene_dfrA18,0.0,0.0,0.0
gene_dfrA17,0.0,0.0,0.0
gene_dfrA15,0.0,0.0,0.0
gene_dfrA14,0.0,0.0,0.0
gene_dfrA12,0.0,0.0,0.0
