feature,importance,shap_mean,shap_std
gene_ompK35_E132K,0.0,0.0,0.0
gene_iss,0.0,0.0,0.0
gene_ompK36_Q70STOP,0.0,0.0,0.0
gene_ompK36_Q313STOP,0.0,0.0,0.0
gene_ompK36_G133D,0.0,0.0,0.0
gene_ncrY,0.0,0.0,0.0
gene_aac(3)-II,0.0,0.0,0.0
gene_oqxA3,0.0,0.0,0.0
gene_oqxB14,0.0,0.0,0.0
gene_ramR_A19V,0.0,0.0,0.0
gene_rmpA,0.0,0.0,0.0
gene_rmpA2,0.0,0.0,0.0
gene_rmpC,0.0,0.0,0.0
gene_rmpD,0.0,0.0,0.0
gene_rmtB1,0.0,0.0,0.0
gene_rmtF,0.0,0.0,0.0
gene_rmtF1,0.0,0.0,0.0
gene_rpsJ_V57L,0.0,0.0,0.0
gene_sak,0.0,0.0,0.0
gene_sat2,0.0,0.0,0.0
gene_sat4,0.0,0.0,0.0
gene_senB,0.0,0.0,0.0
gene_seq,0.0,0.0,0.0
gene_shsP,0.0,0.0,0.0
gene_silB,0.0,0.0,0.0
gene_silC,0.0,0.0,0.0
gene_silS,0.0,0.0,0.0
gene_smr,0.0,0.0,0.0
gene_terC,0.0,0.0,0.0
gene_terW,0.0,0.0,0.0
gene_terZ,0.0,0.0,0.0
gene_tet(B),0.0,0.0,0.0
gene_tet(G),0.0,0.0,0.0
gene_trxLHR,0.0,0.0,0.0
gene_ybtQ,0.0,0.0,0.0
gene_yfdX1,0.0,0.0,0.0
gene_qnrVC1,0.0,0.0,0.0
gene_qnrS,0.0,0.0,0.0
gene_qnrE1,0.0,0.0,0.0
gene_pmrA_S42N,0.0,0.0,0.0
gene_oqxB15,0.0,0.0,0.0
gene_oqxB16,0.0,0.0,0.0
gene_oqxB32,0.0,0.0,0.0
gene_oqxB5,0.0,0.0,0.0
gene_oqxR_D95E,0.0,0.0,0.0
gene_oqxR_V113I,0.0,0.0,0.0
gene_papE,0.0,0.0,0.0
gene_parC_E84K,0.0,0.0,0.0
gene_pcoR,0.0,0.0,0.0
gene_pcoS,0.0,0.0,0.0
gene_peg-344,0.0,0.0,0.0
gene_pmrA_G53S,0.0,0.0,0.0
gene_pmrB_T157P,0.0,0.0,0.0
gene_qnrB91,0.0,0.0,0.0
gene_psi-GI,0.0,0.0,0.0
gene_iroD,0.0,0.0,0.0
gene_qacF,0.0,0.0,0.0
gene_qnrA,0.0,0.0,0.0
gene_qnrA1,0.0,0.0,0.0
gene_qnrA6,0.0,0.0,0.0
gene_qnrB10,0.0,0.0,0.0
gene_qnrB19,0.0,0.0,0.0
gene_qnrB2,0.0,0.0,0.0
gene_qnrB4,0.0,0.0,0.0
gene_qnrB6,0.0,0.0,0.0
gene_qnrB9,0.0,0.0,0.0
gene_iroE,0.0,0.0,0.0
gene_dfrA8,0.0,0.0,0.0
gene_iroC,0.0,0.0,0.0
gene_blaCTX-M-65,0.0,0.0,0.0
gene_blaDHA-6,0.0,0.0,0.0
gene_blaEC,0.0,0.0,0.0
gene_blaFOX-5,0.0,0.0,0.0
gene_blaIMP-18,0.0,0.0,0.0
gene_blaKPC,0.0,0.0,0.0
gene_blaKPC-4,0.0,0.0,0.0
gene_blaKPC-45,0.0,0.0,0.0
gene_blaLAP-2,0.0,0.0,0.0
gene_blaLEN-13,0.0,0.0,0.0
gene_blaLEN-17,0.0,0.0,0.0
gene_blaLEN-2,0.0,0.0,0.0
gene_blaLEN-9,0.0,0.0,0.0
gene_blaNDM,0.0,0.0,0.0
gene_blaNDM-1,0.0,0.0,0.0
gene_blaNDM-5,0.0,0.0,0.0
gene_blaNDM-50,0.0,0.0,0.0
gene_blaNDM-7,0.0,0.0,0.0
gene_blaOKP-B-23,0.0,0.0,0.0
gene_blaOKP-B-5,0.0,0.0,0.0
gene_blaOKP-B-6,0.0,0.0,0.0
gene_blaOKP-B-79,0.0,0.0,0.0
gene_blaOXA-10,0.0,0.0,0.0
gene_blaOXA-163,0.0,0.0,0.0
gene_blaOXA-181,0.0,0.0,0.0
gene_blaOXA-2,0.0,0.0,0.0
gene_blaOXA-204,0.0,0.0,0.0
gene_blaOXY-5-9,0.0,0.0,0.0
gene_blaSCO-1,0.0,0.0,0.0
gene_blaSHV-133,0.0,0.0,0.0
gene_blaDHA-1,0.0,0.0,0.0
gene_blaCTX-M-3,0.0,0.0,0.0
gene_blaSHV-187,0.0,0.0,0.0
gene_blaCTX-M-220,0.0,0.0,0.0
gene_aac(3)-IIg,0.0,0.0,0.0
gene_aac(3)-Ib,0.0,0.0,0.0
gene_aac(3)-VIa,0.0,0.0,0.0
gene_aac(6')-33,0.0,0.0,0.0
gene_aac(6')-E606,0.0,0.0,0.0
gene_aac(6')-Ib',0.0,0.0,0.0
gene_aac(6')-Ib-cr,0.0,0.0,0.0
gene_aac(6')-Ib3,0.0,0.0,0.0
gene_aac(6')-Il,0.0,0.0,0.0
gene_aacA43,0.0,0.0,0.0
gene_aadA10,0.0,0.0,0.0
gene_aadA13,0.0,0.0,0.0
gene_aadA2,0.0,0.0,0.0
gene_aadA5,0.0,0.0,0.0
gene_acrR_M109I,0.0,0.0,0.0
gene_acrR_V165I,0.0,0.0,0.0
gene_acrR_Y114F,0.0,0.0,0.0
gene_ampC_Kaer-1,0.0,0.0,0.0
gene_ant(2'')-Ia,0.0,0.0,0.0
gene_ant(6)-Ia,0.0,0.0,0.0
gene_aphA16,0.0,0.0,0.0
gene_arr-3,0.0,0.0,0.0
gene_arr-4,0.0,0.0,0.0
gene_arsB,0.0,0.0,0.0
gene_arsC,0.0,0.0,0.0
gene_asr,0.0,0.0,0.0
gene_blaCARB-2,0.0,0.0,0.0
gene_blaCMY-16,0.0,0.0,0.0
gene_blaCMY-2,0.0,0.0,0.0
gene_blaSHV-168,0.0,0.0,0.0
gene_blaSHV-2,0.0,0.0,0.0
gene_hdeD-GI,0.0,0.0,0.0
gene_crrB_L94M,0.0,0.0,0.0
gene_dfrA17,0.0,0.0,0.0
gene_dfrA18,0.0,0.0,0.0
gene_dfrA19,0.0,0.0,0.0
gene_dfrA21,0.0,0.0,0.0
gene_dfrA26,0.0,0.0,0.0
gene_dfrA27,0.0,0.0,0.0
gene_dfrA30,0.0,0.0,0.0
gene_dfrA33,0.0,0.0,0.0
gene_dfrA51,0.0,0.0,0.0
gene_dfrA7,0.0,0.0,0.0
gene_dfrB3,0.0,0.0,0.0
gene_emrD,0.0,0.0,0.0
gene_emrE,0.0,0.0,0.0
gene_ere(A),0.0,0.0,0.0
gene_ere(B),0.0,0.0,0.0
gene_erm(42),0.0,0.0,0.0
gene_erm(B),0.0,0.0,0.0
gene_floR,0.0,0.0,0.0
gene_floR2,0.0,0.0,0.0
gene_fosA,0.0,0.0,0.0
gene_fosA10,0.0,0.0,0.0
gene_fosA3,0.0,0.0,0.0
gene_fosA5,0.0,0.0,0.0
gene_fosA7,0.0,0.0,0.0
gene_ftsI_L367Q,0.0,0.0,0.0
gene_gyrA_D87G,0.0,0.0,0.0
gene_gyrA_D87Y,0.0,0.0,0.0
gene_gyrA_S83F,0.0,0.0,0.0
gene_gyrA_S83T,0.0,0.0,0.0
gene_dfrA15,0.0,0.0,0.0
gene_crcB,0.0,0.0,0.0
gene_blaSHV-205,0.0,0.0,0.0
gene_cmlA5,0.0,0.0,0.0
gene_blaSHV-217,0.0,0.0,0.0
gene_blaSHV-254,0.0,0.0,0.0
gene_blaSHV-26,0.0,0.0,0.0
gene_blaSHV-27,0.0,0.0,0.0
gene_blaSHV-30,0.0,0.0,0.0
gene_blaSHV-31,0.0,0.0,0.0
gene_blaSHV-33,0.0,0.0,0.0
gene_blaSHV-36,0.0,0.0,0.0
gene_blaSHV-42,0.0,0.0,0.0
gene_blaSHV-5,0.0,0.0,0.0
gene_blaSHV-52,0.0,0.0,0.0
gene_blaSHV-63,0.0,0.0,0.0
gene_blaSHV-7,0.0,0.0,0.0
gene_blaSHV-71,0.0,0.0,0.0
gene_blaSHV-76,0.0,0.0,0.0
gene_blaSHV-77,0.0,0.0,0.0
gene_blaSHV-80,0.0,0.0,0.0
gene_blaSHV_C-112A,0.0,0.0,0.0
gene_blaTEM-206,0.0,0.0,0.0
gene_blaVIM-1,0.0,0.0,0.0
gene_blaVIM-2,0.0,0.0,0.0
gene_blaVIM-4,0.0,0.0,0.0
gene_cadD,0.0,0.0,0.0
gene_catA2,0.0,0.0,0.0
gene_catB11,0.0,0.0,0.0
gene_clbN,0.0,0.0,0.0
gene_cmlA,0.0,0.0,0.0
gene_cmlA1,0.0,0.0,0.0
gene_cmlA4,0.0,0.0,0.0
gene_yfdX2,0.0,0.0,0.0
