feature,importance,shap_mean,shap_std
gene_pmrB_T157P,0.0,0.0,0.0
gene_psi-GI,0.0,0.0,0.0
gene_qacE,0.0,0.0,0.0
gene_qacF,0.0,0.0,0.0
gene_qnrA1,0.0,0.0,0.0
gene_rmpA2,0.0,0.0,0.0
gene_qnrA6,0.0,0.0,0.0
gene_qnrB,0.0,0.0,0.0
gene_qnrB1,0.0,0.0,0.0
gene_qnrB17,0.0,0.0,0.0
gene_qnrB19,0.0,0.0,0.0
gene_qnrB2,0.0,0.0,0.0
gene_qnrB4,0.0,0.0,0.0
gene_qnrB6,0.0,0.0,0.0
gene_qnrB9,0.0,0.0,0.0
gene_qnrS,0.0,0.0,0.0
gene_ramR_A19V,0.0,0.0,0.0
gene_ramR_T43M,0.0,0.0,0.0
gene_rmpA,0.0,0.0,0.0
gene_iroD,0.0,0.0,0.0
gene_fieF,0.0,0.0,0.0
gene_iroB,0.0,0.0,0.0
gene_blaCARB-2,0.0,0.0,0.0
gene_blaCMY-4,0.0,0.0,0.0
gene_blaCTX-M,0.0,0.0,0.0
gene_blaCTX-M-14,0.0,0.0,0.0
gene_blaCTX-M-3,0.0,0.0,0.0
gene_blaDHA-1,0.0,0.0,0.0
gene_blaFOX-5,0.0,0.0,0.0
gene_blaKPC,0.0,0.0,0.0
gene_blaKPC-2,0.0,0.0,0.0
gene_blaKPC-4,0.0,0.0,0.0
gene_blaLAP,0.0,0.0,0.0
gene_blaLEN-17,0.0,0.0,0.0
gene_blaLEN-2,0.0,0.0,0.0
gene_blaNDM,0.0,0.0,0.0
gene_blaNDM-1,0.0,0.0,0.0
gene_blaNDM-5,0.0,0.0,0.0
gene_blaOKP-B-5,0.0,0.0,0.0
gene_blaOKP-B-6,0.0,0.0,0.0
gene_blaOKP-B-79,0.0,0.0,0.0
gene_blaOXA,0.0,0.0,0.0
gene_blaOXA-10,0.0,0.0,0.0
gene_blaOXA-181,0.0,0.0,0.0
gene_blaOXA-2,0.0,0.0,0.0
gene_blaOXA-204,0.0,0.0,0.0
gene_blaOXA-232,0.0,0.0,0.0
gene_blaOXA-48,0.0,0.0,0.0
gene_blaOXA-9,0.0,0.0,0.0
gene_blaSCO-1,0.0,0.0,0.0
gene_blaCMY-16,0.0,0.0,0.0
gene_asr,0.0,0.0,0.0
gene_blaSHV-119,0.0,0.0,0.0
gene_arsR,0.0,0.0,0.0
gene_aac(3)-IVa,0.0,0.0,0.0
gene_aac(3)-Ib,0.0,0.0,0.0
gene_aac(6')-Ib,0.0,0.0,0.0
gene_aac(6')-Ib',0.0,0.0,0.0
gene_aac(6')-Ib-cr,0.0,0.0,0.0
gene_aac(6')-Ib-cr5,0.0,0.0,0.0
gene_aac(6')-Ib3,0.0,0.0,0.0
gene_aac(6')-Ib4,0.0,0.0,0.0
gene_aac(6')-Il,0.0,0.0,0.0
gene_aadA2,0.0,0.0,0.0
gene_acrR_M109I,0.0,0.0,0.0
gene_acrR_V165I,0.0,0.0,0.0
gene_acrR_Y114F,0.0,0.0,0.0
gene_ampC_Kaer-1,0.0,0.0,0.0
gene_ant(6)-Ia,0.0,0.0,0.0
gene_aph(3')-Ia,0.0,0.0,0.0
